query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	3.67240898207086e-07	10	357	8	0.0224089635854342	0.8	GO:0072677	GO:BP	eosinophil migration	13946	16315	GO:0097530
query_1	TRUE	6.80934184556532e-06	3956	357	157	0.439775910364146	0.0396865520728008	GO:0023052	GO:BP	signaling	13946	6205	GO:0050789
query_1	TRUE	7.39366957533607e-06	3960	357	157	0.439775910364146	0.0396464646464646	GO:0007154	GO:BP	cell communication	13946	2584	GO:0009987
query_1	TRUE	1.93586068245945e-05	4289	357	165	0.46218487394958	0.0384705059454418	GO:0032501	GO:BP	multicellular organismal process	13946	7116	GO:0008150
query_1	TRUE	0.000111082711940034	914	357	55	0.15406162464986	0.0601750547045952	GO:0007155	GO:BP	cell adhesion	13946	2585	GO:0009987
query_1	TRUE	0.000199154065641497	3675	357	144	0.403361344537815	0.0391836734693878	GO:0007165	GO:BP	signal transduction	13946	2595	GO:0007154;GO:0009987;GO:0023052;GO:0050794;GO:0051716
query_1	TRUE	0.000361923563509761	8	357	6	0.0168067226890756	0.75	GO:0048245	GO:BP	eosinophil chemotaxis	13946	11758	GO:0071621;GO:0072677
query_1	TRUE	0.00137022525715422	824	357	49	0.137254901960784	0.0594660194174757	GO:0040011	GO:BP	locomotion	13946	9265	GO:0008150
query_1	TRUE	2.23951345876228e-10	3222	357	148	0.414565826330532	0.0459342023587834	GO:0071944	GO:CC	cell periphery	13946	2724	GO:0110165
query_1	TRUE	4.67334363985026e-06	2995	357	129	0.361344537815126	0.0430717863105175	GO:0005886	GO:CC	plasma membrane	13946	409	GO:0016020;GO:0071944
query_1	TRUE	0.000773649426409419	449	357	34	0.0952380952380952	0.0757238307349666	GO:0009986	GO:CC	cell surface	13946	641	GO:0110165
query_1	TRUE	0.00183342157685912	2292	357	99	0.277310924369748	0.0431937172774869	GO:0005576	GO:CC	extracellular region	13946	194	GO:0110165
query_1	TRUE	0.0022124840404008	200	357	21	0.0588235294117647	0.105	GO:0031012	GO:CC	extracellular matrix	13946	1000	GO:0030312
query_1	TRUE	0.0022124840404008	200	357	21	0.0588235294117647	0.105	GO:0030312	GO:CC	external encapsulating structure	13946	902	GO:0071944;GO:0110165
query_1	TRUE	0.00799614627028247	1918	357	85	0.238095238095238	0.0443169968717414	GO:0005615	GO:CC	extracellular space	13946	227	GO:0005576;GO:0110165
query_1	TRUE	0.000209498664766512	448	357	35	0.0980392156862745	0.078125	GO:0060089	GO:MF	molecular transducer activity	13946	7657	GO:0003674
query_1	TRUE	0.000209498664766512	448	357	35	0.0980392156862745	0.078125	GO:0038023	GO:MF	signaling receptor activity	13946	4947	GO:0060089
query_1	TRUE	0.00216223489835211	316	357	27	0.0756302521008403	0.0854430379746835	GO:0004888	GO:MF	transmembrane signaling receptor activity	13946	1110	GO:0038023
query_1	TRUE	0.000115186549718749	129	357	15	0.0420168067226891	0.116279069767442	KEGG:04060	KEGG	Cytokine-cytokine receptor interaction	13946	260	KEGG:00000
query_1	TRUE	0.00122573645702434	56	357	9	0.0252100840336134	0.160714285714286	KEGG:04512	KEGG	ECM-receptor interaction	13946	324	KEGG:00000
query_1	TRUE	0.00395359040877379	37	357	7	0.0196078431372549	0.189189189189189	KEGG:04061	KEGG	Viral protein interaction with cytokine and cytokine receptor	13946	261	KEGG:00000
query_1	TRUE	0.0369632329059976	52	357	7	0.0196078431372549	0.134615384615385	KEGG:04974	KEGG	Protein digestion and absorption	13946	419	KEGG:00000
query_1	TRUE	0.0472527568743173	39	357	6	0.0168067226890756	0.153846153846154	KEGG:04640	KEGG	Hematopoietic cell lineage	13946	346	KEGG:00000
query_1	TRUE	0.048874960089596	108	357	10	0.0280112044817927	0.0925925925925926	KEGG:04518	KEGG	Integrin signaling	13946	327	KEGG:00000
