metric	value
file_count	181
du_size_KiB	48376
byte_sum_MB	46.832
files_gt_5MB	4
files_gt_25MB	0
clean_copy_run_all	passed
clean_copy_post_run_file_count	290
clean_copy_post_run_du_size_KiB	77864
clean_copy_post_run_files_gt_25MB	0
