assay	analysis_source	contrast	feature_id	log2_fold_change	raw_p_value	BH_FDR	direction	nominal_discovery	FDR_significant	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation	mean_CPM_vehicle	mean_CPM_treatment	mean_log2_CPM_plus_1_vehicle	mean_log2_CPM_plus_1_treatment	V_A	V_B	V_C	IL4_A	IL4_B	IL4_C	label_for_plot
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548ap-3p	1.23464718844218	0.227304404930189	0.71519809890531	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	1.9748526044	0	1.23464718844218	0	0	0	1.3288588857	4.5956989275	0	hsa-miR-548ap-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548t-3p	-0.730791489644019	0.431815740337546	0.720900438986339	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.83194220303333	0.58129034	1.21619571195763	0.485404222313613	1.5208043723	0	3.9750222368	0	0	1.74387102	hsa-miR-548t-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548e-3p	-0.0800583401325885	0.931175680853818	0.967139668527713	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	0.765949821266667	0.653900188765632	0.573841848633043	0	2.8952085334	0	0	2.2978494638	0	hsa-miR-548e-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548az-3p	-0.281329139517312	0.422649730810374	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0	0.281329139517312	0	0	0	0.7950044474	0	0	0	hsa-miR-548az-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548bc	0.777916931429344	0.28776535781928	0.71519809890531	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	1.34724016126667	0.281329139517312	1.05924607094666	0	0	0.7950044474	0	2.2978494638	1.74387102	hsa-miR-548bc
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-1537-3p	-0.653900188765632	0.422649730810374	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	0	0.653900188765632	0	0	2.8952085334	0	0	0	0	hsa-miR-1537-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548av-3p	-0.725957193452202	0.203408229473114	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.771936273233333	0	0.725957193452202	0	1.5208043723	0	0.7950044474	0	0	0	hsa-miR-548av-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-320d	-1.17013943282932	0.0173384396916561	0.71519809890531	down	TRUE	FALSE	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen	12.6857830549	5.1859198882	3.76945281857846	2.59931338574914	12.1664349787	11.5808341337	14.3100800523	3.9865766572	4.5956989275	6.9754840799	hsa-miR-320d
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-320b	-0.386315077044817	0.264952419473676	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	13.629116253	10.3534585008667	3.85294148821922	3.4666264111744	16.7288480957	13.0284384004	11.1300622629	11.9597299715	6.8935483913	12.2070971398	hsa-miR-320b
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-320a-3p	-0.269348472863539	0.200956261593601	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	769.0162074927	636.3703923004	9.57658733787502	9.30723886501148	809.0679260823	862.7721429628	635.208553433	629.8791118305	553.7817207647	725.450344306	hsa-miR-320a-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-320c	-0.642062720473238	0.420400432054752	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	22.2390165297333	17.3473238562	4.53536250716234	3.89329978668911	24.3328699574	21.7140640007	20.6701156311	7.9731533143	9.191397855	34.8774203993	hsa-miR-320c
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-4484	-0.586387173407926	0.422649730810374	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.795004447366667	0	0.586387173407926	0	0	0	2.3850133421	0	0	0	hsa-miR-4484
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548ak	0			unchanged	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0	0	0	0	0	0	0	0	0	hsa-miR-548ak
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548w	0.126210623590856	0.905631427163242	0.955703376158495	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.9789390927	2.4178055663	1.32554341068388	1.45175403427474	3.0416087447	2.8952085334	0	2.6577177714	4.5956989275	0	hsa-miR-548w
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548y	-0.430456773071619	0.422649730810374	0.71519809890531	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.482534755566667	0	0.430456773071619	0	0	1.4476042667	0	0	0	0	hsa-miR-548y
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-548h-5p	-0.168849300163947	0.736397306226857	0.900762210036989	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	6.9724231727	5.6288728501	2.88177352063994	2.712924220476	7.6040218617	10.133229867	3.1800177894	5.3154355429	4.5956989275	6.9754840799	hsa-miR-548h-5p
