feature_id	direction_IL4	log2FC_IL4	P_IL4	FDR_IL4	direction_IL13	log2FC_IL13	P_IL13	FDR_IL13	shared_direction
hsa-miR-548a-3p	up	1.01267985083723	0.0351432722683753	0.71519809890531	up	1.18448965371271	0.0283397597995277	0.753091701676768	up
hsa-miR-30a-3p	down	-0.329624572691753	0.0365173387091099	0.71519809890531	down	-0.304442182702548	0.0481441100339849	0.753091701676768	down
hsa-miR-625-3p	down	-0.616515995312088	0.0386575799820798	0.71519809890531	down	-0.377775514427379	0.0493816659527679	0.753091701676768	down
hsa-miR-145-3p	up	0.473755233120786	0.0302012392407476	0.71519809890531	up	0.686009687785934	0.0116037191595936	0.753091701676768	up
hsa-miR-135b-5p	down	-1.46878725865849	0.0201085877290037	0.71519809890531	down	-1.76644168004375	0.00456052555105449	0.753091701676768	down
hsa-miR-1307-5p	down	-0.681642304544032	0.0226316257363913	0.71519809890531	down	-0.597353975798748	0.0425452164839133	0.753091701676768	down
hsa-let-7e-5p	down	-0.334821004613802	0.00316046698293546	0.71519809890531	down	-0.173417629865632	0.0471168504575643	0.753091701676768	down
hsa-let-7g-5p	down	-0.164065273553426	0.0155050095902436	0.71519809890531	down	-0.130268975431303	0.0422542096626753	0.753091701676768	down
hsa-let-7i-5p	down	-0.297378197633014	0.0124937467342794	0.71519809890531	down	-0.192985302087076	0.0434900317229406	0.753091701676768	down
hsa-miR-218-5p	up	1.7672648297293	0.000236891703921786	0.117853622701089	up	1.41510819404445	0.0118566713362156	0.753091701676768	up
