feature_id	IL4_direction	IL4_nominal	IL4_FDR_significant	IL4_log2FC	IL4_P	IL4_FDR	IL13_direction	IL13_nominal	IL13_FDR_significant	IL13_log2FC	IL13_P	IL13_FDR
hsa-miR-3617-5p	down	FALSE	FALSE	-0.879274975956817	0.342942049977908	0.71519809890531	down	FALSE	FALSE	-1.38595673828153	0.0714288966360785	0.753091701676768
hsa-miR-10527-5p	down	FALSE	FALSE	-0.168495966452019	0.846992816418154	0.93256780588044	down	FALSE	FALSE	-0.29961734283778	0.713375524332931	0.916516159024411
hsa-miR-320e	up	FALSE	FALSE	0.812291057507767	0.538939974236118	0.799173285193647	up	FALSE	FALSE	0.07295370641054	0.880085923273483	0.972726546775955
hsa-miR-651-3p	up	FALSE	FALSE	0.485404222313613	0.422649730810374	0.71519809890531	up	FALSE	FALSE	0.807070731779819	0.422649730810374	0.753091701676768
hsa-miR-148a-5p	down	FALSE	FALSE	-0.483010495826327	0.670308800483376	0.87299176462366	down	FALSE	FALSE	-0.64407136001811	0.532063297988578	0.828586933325599
hsa-miR-1277-5p	down	FALSE	FALSE	-1.12450671550964	0.195107621130444	0.71519809890531	down	FALSE	FALSE	-0.338124157142501	0.595700000482274	0.872364017442661
hsa-miR-362-3p	down	FALSE	FALSE	-0.0800583401325885	0.931175680853818	0.967139668527713	up	FALSE	FALSE	0.513777693863952	0.590183562818417	0.868696786936064
hsa-miR-329-3p	down	FALSE	FALSE	-0.0934252689642223	0.812386956899157	0.922507172387301	down	FALSE	FALSE	-0.434469199442326	0.319656069638215	0.753091701676768
hsa-miR-376c-3p	up	FALSE	FALSE	0.284376047477586	0.086000933198087	0.71519809890531	up	FALSE	FALSE	0.170716253691802	0.212714372158222	0.753091701676768
hsa-miR-499b-3p	unchanged	FALSE	FALSE	0			up	FALSE	FALSE	0.332810802940831	0.422649730810374	0.753091701676768
hsa-miR-181c-5p	up	FALSE	FALSE	0.333331986667362	0.713455037286693	0.890699826976486	up	FALSE	FALSE	1.35471613047772	0.224461941253066	0.753091701676768
hsa-miR-181a-5p	down	FALSE	FALSE	-0.195686566073068	0.134377488274299	0.71519809890531	down	FALSE	FALSE	-0.196632541444659	0.12513742518232	0.753091701676768
hsa-miR-181b-5p	down	TRUE	FALSE	-0.385651239919635	0.0242618836328768	0.71519809890531	down	FALSE	FALSE	-0.104119294174659	0.549012481289694	0.835453775875621
hsa-miR-181d-5p	down	FALSE	FALSE	-1.60455894374955	0.136970283164372	0.71519809890531	down	FALSE	FALSE	-0.451386897768671	0.365397404222215	0.753091701676768
hsa-miR-181c-3p	down	FALSE	FALSE	-1.4902516502428	0.140624748419804	0.71519809890531	down	FALSE	FALSE	-0.261745855541375	0.667336796547418	0.916516159024411
hsa-miR-100-5p	down	FALSE	FALSE	-0.0371111749877535	0.845092437636186	0.93256780588044	down	FALSE	FALSE	-0.0785674563490399	0.685534493132296	0.916516159024411
hsa-miR-99a-5p	up	FALSE	FALSE	0.676792299533282	0.0664057200009624	0.71519809890531	up	FALSE	FALSE	0.44155224375126	0.174400200576328	0.753091701676768
hsa-miR-4798-3p	down	FALSE	FALSE	-0.67164322191825	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.67164322191825	0.422649730810374	0.753091701676768
hsa-miR-193b-3p	down	FALSE	FALSE	-0.27310808327283	0.326518709395712	0.71519809890531	up	FALSE	FALSE	0.27663816410788	0.122610750734091	0.753091701676768
hsa-miR-193a-3p	up	FALSE	FALSE	0.618294556342523	0.297224074095827	0.71519809890531	up	FALSE	FALSE	0.726757996930749	0.281677800888311	0.753091701676768
hsa-miR-452-5p	down	FALSE	FALSE	-0.000982367253044902	0.997302186845457	0.99830550896502	down	FALSE	FALSE	-0.166457591540467	0.612421438494889	0.890640596149077
hsa-miR-483-5p	down	FALSE	FALSE	-0.362210751240921	0.151971598346629	0.71519809890531	down	FALSE	FALSE	-0.125091774984315	0.325114991808233	0.753091701676768
hsa-miR-4499	up	FALSE	FALSE	0.99355799385779	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
hsa-miR-576-3p	down	FALSE	FALSE	-0.579667665890288	0.522302994015438	0.785034062185357	down	FALSE	FALSE	-0.565227081591507	0.537961282932079	0.828586933325599
hsa-miR-6838-5p	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.753091701676768
hsa-miR-1179	up	FALSE	FALSE	0.841781572291896	0.406331083979141	0.71519809890531	up	FALSE	FALSE	0.972660306877286	0.152763488414598	0.753091701676768
hsa-miR-6779-3p	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.71519809890531	down	FALSE	FALSE	-0.430456773071619	0.422649730810374	0.753091701676768
hsa-miR-22-3p	up	TRUE	FALSE	0.420599493717136	0.0381278281043904	0.71519809890531	up	FALSE	FALSE	0.331810376783128	0.0510020057574439	0.753091701676768
hsa-miR-28-5p	down	FALSE	FALSE	-0.467714524673148	0.282076670755255	0.71519809890531	down	FALSE	FALSE	-0.304693056339791	0.326144147454857	0.753091701676768
hsa-miR-708-5p	up	FALSE	FALSE	1.06979615033284	0.156107052871249	0.71519809890531	down	FALSE	FALSE	-1.23864166558627	0.281436227188659	0.753091701676768
hsa-miR-3158-3p	up	FALSE	FALSE	0.721996583570707	0.422649730810374	0.71519809890531	unchanged	FALSE	FALSE	0		
