assay	contrast	total_features	nominal_discovery	nominal_up	nominal_down	FDR_significant	FDR_up	FDR_down
miRNA-seq	IL4_vs_Vehicle	1103	45	20	25	0	0	0
miRNA-seq	IL13_vs_Vehicle	1103	28	15	13	0	0	0
