assay	analysis_source	contrast	feature_id	log2_fold_change	raw_p_value	BH_FDR	direction	nominal_discovery	FDR_significant	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation	mean_CPM_vehicle	mean_CPM_treatment	mean_log2_CPM_plus_1_vehicle	mean_log2_CPM_plus_1_treatment	V_A	V_B	V_C	IL13_A	IL13_B	IL13_C	label_for_plot
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548h-5p	-0.105925838630523	0.847994984424621	0.967820362658535	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	6.9724231727	6.14080748693333	2.88177352063994	2.77584768200942	7.6040218617	10.133229867	3.1800177894	3.9913121495	8.9858493424	5.4452609689	hsa-miR-548h-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548ar-5p	-0.653900188765632	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	0	0.653900188765632	0	0	2.8952085334	0	0	0	0	hsa-miR-548ar-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548a-5p	-0.430456773071619	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.482534755566667	0	0.430456773071619	0	0	1.4476042667	0	0	0	0	hsa-miR-548a-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548i	-0.281329139517312	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0	0.281329139517312	0	0	0	0.7950044474	0	0	0	hsa-miR-548i
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548j-5p	1.40564498597199	0.100238374532435	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.30193923813333	4.58938556773333	1.03101522734282	2.4366602133148	1.5208043723	0	2.3850133421	2.9934841121	6.418463816	4.3562087751	hsa-miR-548j-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548au-5p	0.299515444726822	0.813734384566331	0.955943601815913	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.01386958156667	2.17810438753333	0.67164322191825	0.971158666645072	3.0416087447	0	0	0	0	6.5343131626	hsa-miR-548au-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548c-5p	0.386676777827144	0.754758400779819	0.938893632400183	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	6.250618831	8.5481048072	2.44209348891126	2.8287702667384	12.1664349787	5.7904170669	0.7950044474	1.9956560747	5.1347710528	18.5138872941	hsa-miR-548c-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548ab	0.527624000121103	0.422649730810374	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0.665218691566667	0	0.527624000121103	0	0	0	1.9956560747	0	0	hsa-miR-548ab
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548b-5p	0.611622378632441	0.422649730810374	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0.855795175466667	0	0.611622378632441	0	0	0	0	2.5673855264	0	hsa-miR-548b-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548ad-5p	0.575922369894362	0.0527223971965025	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	12.4438497465667	19.0777139792	3.7347722855974	4.31069465549176	10.6456306063	11.5808341337	15.1050844997	18.95873271	15.4043131584	22.8700960692	hsa-miR-548ad-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548ay-5p	-1.40472006498471	0.0294677761680044	0.753091701676768	down	TRUE	FALSE	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen	5.81422042363333	1.48654172936667	2.69070922880796	1.28598916382324	9.124826234	4.3428128001	3.9750222368	0.9978280374	1.2836927632	2.1781043875	hsa-miR-548ay-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548d-5p	-0.113131467247338	0.90394987550061	0.972857097713563	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	2.557742128	1.48654172936667	1.39912063107058	1.28598916382324	6.0832174893	0	1.5900088947	0.9978280374	1.2836927632	2.1781043875	hsa-miR-548d-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548av-5p	-0.444628053934891	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.506934790766667	0	0.444628053934891	0	1.5208043723	0	0	0	0	0	hsa-miR-548av-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548k	0.0137252066362987	0.987169699355099	0.993406854250312	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.27753920293333	1.42166153956667	1.01684394647955	1.03056915311584	0	1.4476042667	2.3850133421	0.9978280374	0	3.2671565813	hsa-miR-548k
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548l	0			unchanged	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0	0	0	0	0	0	0	0	0	hsa-miR-548l
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-106a-5p	-0.200176318864325	0.615895595941241	0.892809133895162	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	7.13922783586667	6.0110471073	2.97310652120651	2.77293020234218	9.124826234	4.3428128001	7.9500444735	3.9913121495	6.418463816	7.6233653564	hsa-miR-106a-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-548at-5p	-0.281329139517312	0.422649730810374	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0	0.281329139517312	0	0	0	0.7950044474	0	0	0	hsa-miR-548at-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-495-3p	-0.432514477537658	0.654773051311151	0.916516159024411	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	11.7279695276333	6.78789060863333	3.31530169334528	2.88278721580762	19.7704568404	13.0284384004	2.3850133421	9.9782803737	3.8510782896	6.5343131626	hsa-miR-495-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-543	-0.684708446035337	0.210321740101728	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	28.9727667947333	17.5402833186333	4.82890343389983	4.14419498786449	28.8952830744	40.5329194681	17.4900978417	14.9674205605	25.6738552639	11.9795741315	hsa-miR-543
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-3129-3p	-0.769289192049037	0.334513520402834	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	1.49640433713333	0.3326093458	1.10209999498987	0.332810802940831	3.0416087447	1.4476042667	0	0.9978280374	0	0	hsa-miR-3129-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-641	0.838217523328271	0.218902965682789	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	4.1233509875	7.613277732	2.21559798543823	3.0538155087665	4.562413117	1.4476042667	6.3600355788	10.9761084111	6.418463816	5.4452609689	hsa-miR-641
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-3617-5p	-1.38595673828153	0.0714288966360785	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	3.76208122533333	0.790914985666667	2.13736244109465	0.751405702813119	1.5208043723	5.7904170669	3.9750222368	0	1.2836927632	1.0890521938	hsa-miR-3617-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-10527-5p	-0.29961734283778	0.713375524332931	0.916516159024411	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	0.363017397933333	0.653900188765632	0.354282845927852	0	2.8952085334	0	0	0	1.0890521938	hsa-miR-10527-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-320e	0.07295370641054	0.880085923273483	0.972726546775955	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.265001482466667	0.363017397933333	0.281329139517312	0.354282845927852	0	0	0.7950044474	0	0	1.0890521938	hsa-miR-320e
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-651-3p	0.807070731779819	0.422649730810374	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	1.4520695917	0	0.807070731779819	0	0	0	0	0	4.3562087751	hsa-miR-651-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-148a-5p	-0.64407136001811	0.532063297988578	0.828586933325599	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	2.0033391279	0.855795175466667	1.25569373865055	0.611622378632441	4.562413117	1.4476042667	0	0	2.5673855264	0	hsa-miR-148a-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-1277-5p	-0.338124157142501	0.595700000482274	0.872364017442661	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	4.07588277816667	3.50033337396667	2.32199648460534	1.98387232746284	4.562413117	2.8952085334	4.7700266841	2.9934841121	6.418463816	1.0890521938	hsa-miR-1277-5p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-362-3p	0.513777693863952	0.590183562818417	0.868696786936064	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0.965069511133333	1.5818299713	0.653900188765632	1.16767788262958	0	2.8952085334	0	0	2.5673855264	2.1781043875	hsa-miR-362-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-329-3p	-0.434469199442326	0.319656069638215	0.753091701676768	down	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	84.4026990211	58.8979074429	6.33614730392968	5.90167810448735	68.4361967551	125.9415712043	58.8303291039	55.8783700927	64.1846381598	56.6307140762	hsa-miR-329-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-376c-3p	0.170716253691802	0.212714372158222	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	404.2025107969	455.4575020053	8.65844330787458	8.82915956156638	393.8883324348	445.8621141486	372.8570858073	506.8966429835	446.7250815922	412.7507814402	hsa-miR-376c-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-499b-3p	0.332810802940831	0.422649730810374	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	0	0.3326093458	0	0.332810802940831	0	0	0	0.9978280374	0	0	hsa-miR-499b-3p
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-181c-5p	1.35471613047772	0.224461941253066	0.753091701676768	up	FALSE	FALSE	FALSE	FALSE	FALSE		not nominally significant	2.36194516793333	5.5527414674	1.34956200474194	2.70427813521967	1.5208043723	0	5.5650311315	4.9891401868	5.1347710528	6.5343131626	hsa-miR-181c-5p
