assay	analysis_source	contrast	feature_id	log2_fold_change	raw_p_value	BH_FDR	direction	nominal_discovery	FDR_significant	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation	mean_CPM_vehicle	mean_CPM_treatment	mean_log2_CPM_plus_1_vehicle	mean_log2_CPM_plus_1_treatment	V_A	V_B	V_C	IL4_A	IL4_B	IL4_C	label_for_plot	IL13_A	IL13_B	IL13_C	candidate_axis	experimental_status
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-625-3p	-0.616515995312088	0.0386575799820798	0.71519809890531	down	TRUE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05	177.370877705867	116.2706466269	7.47855976233445	6.86204376702236	177.9341115632	173.7125120059	180.4660095485	106.3087108575	137.8709678252	104.632261198	hsa-miR-625-3p				miR-625-3p / LIFR	experimentally evaluated; negative or less supportive result
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-140-3p	-0.292237654463319	0.0222470778417725	0.71519809890531	down	TRUE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05	315.114940308533	257.169454602433	8.30210688569026	8.00986923122694	330.0145487967	290.9684576099	324.361814519	245.8388938579	278.0397851142	247.6296848352	hsa-miR-140-3p				miR-140-3p / CEMIP / circPAPPA	strongest functional support; pursued further
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL4_vs_Vehicle	hsa-miR-135b-5p	-1.46878725865849	0.0201085877290037	0.71519809890531	down	TRUE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05	21.2278106703333	7.23440649196667	4.4480015602138	2.97921430155531	27.374478702	18.8188554673	17.4900978417	6.6442944286	4.5956989275	10.4632261198	hsa-miR-135b-5p				miR-135b-5p / TNC / circLIFR	experimentally evaluated; negative or less supportive result
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-625-3p	-0.377775514427379	0.0493816659527679	0.753091701676768	down	TRUE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05	177.370877705867	136.817242927767	7.47855976233445	7.10078424790707	177.9341115632	173.7125120059	180.4660095485				hsa-miR-625-3p	154.6633457922	128.3692763196	127.4191066715	miR-625-3p / LIFR	experimentally evaluated; negative or less supportive result
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-140-3p	-0.180648838124336	0.0918109438782129	0.753091701676768	down	FALSE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested; not a nominal discovery in this contrast	315.114940308533	277.9554507813	8.30210688569026	8.12145804756592	330.0145487967	290.9684576099	324.361814519				hsa-miR-140-3p	262.4287738281	270.8591730343	300.5784054815	miR-140-3p / CEMIP / circPAPPA	strongest functional support; pursued further
miRNA-seq	log2_CPM_plus_1_Welch_two_sided_from_compact_CPM_matrix	IL13_vs_Vehicle	hsa-miR-135b-5p	-1.76644168004375	0.00456052555105449	0.753091701676768	down	TRUE	FALSE	TRUE	TRUE	TRUE	prioritized/tested from integrated ceRNA network; highlighted separately from nominal volcano coloring	biologically prioritized/tested and nominal P < 0.05	21.2278106703333	5.58314951956667	4.4480015602138	2.68155988017005	27.374478702	18.8188554673	17.4900978417				hsa-miR-135b-5p	3.9913121495	5.1347710528	7.6233653564	miR-135b-5p / TNC / circLIFR	experimentally evaluated; negative or less supportive result
