circRNA	circRNA_type	GeneSymbol	P	log10FC	reg	sig
hsa_circRNA_082501	exonic	NUP205	0.298353480159651	0.0216111490126774	up	no
hsa_circRNA_407247	sense overlapping	AK308944	0.0651677479156428	0.0568780851670454	up	no
hsa_circRNA_007418	exonic	ZBTB40	0.0757026478245579	0.110976386195726	up	no
hsa_circRNA_407121	exonic	MTSS1	0.283562628569442	0.0451702092245247	up	no
hsa_circRNA_407087	exonic	TRAM1	0.0932099336337894	0.260646125086901	up	no
hsa_circRNA_061985	exonic	PTTG1IP	0.139239764900711	0.113623547813812	up	no
hsa_circRNA_404446	exonic	CAPZB	0.122009370997579	0.129607897498949	up	no
hsa_circRNA_043081	exonic	CCT6B	0.161957885123987	0.034762106259212	up	no
hsa_circRNA_401039	exonic	GIT2	0.225190551817416	0.0417388744805843	up	no
hsa_circRNA_400114	exonic	RERE	0.298448211608735	0.0458626338808602	up	no
hsa_circRNA_100501	exonic	FMN2	0.101857967981995	0.176753509782706	up	no
hsa_circRNA_000654	exonic	CHD2	0.109927717681656	0.13005148412894	up	no
hsa_circRNA_104195	exonic	PDE7B	0.0332259965476599	0.149948832890162	up	no
hsa_circRNA_404754	exonic	CCDC6	0.144747036851951	0.0825348880552126	up	no
hsa_circRNA_103950	exonic	FAM13B	0.187764157602412	0.0523880694596882	up	no
hsa_circRNA_007390	exonic	NPTN	0.336856280917114	0.0301787006738026	up	no
hsa_circRNA_008846	exonic	DEK	0.256595961395408	0.0819519643332758	up	no
hsa_circRNA_000542	exonic	ARID4A	0.411814717114314	-0.0230597861000393	down	no
hsa_circRNA_404789	exonic	KIF20B	0.0865242695528889	0.0503051183113957	up	no
hsa_circRNA_007645	sense overlapping	GLOD4	0.376704464420433	-0.0251260172204736	down	no
hsa_circRNA_102997	exonic	KIF16B	0.0797396802560513	0.168027631903717	up	no
hsa_circRNA_402543	exonic	GINS1	0.135843653971825	0.0851102730398805	up	no
hsa_circRNA_404823	exonic	FAM196A	0.0302924471536485	0.0836690636253494	up	no
hsa_circRNA_103917	exonic	RHOBTB3	0.0670750397491607	0.124310689525741	up	no
hsa_circRNA_102887	exonic	SATB2	0.0298105138649028	0.11246882641382	up	no
hsa_circRNA_405950	exonic	RALB	0.18101853630482	0.0562372194111362	up	no
hsa_circRNA_054947	exonic	UGP2	0.433484697466285	0.00493521767551215	up	no
hsa_circRNA_406825	intronic	SMPD2	0.406692199373374	0.0131836441454251	up	no
