sample_name	source_column	condition	biological_replicate	assay	statistical_unit	notes
V_A	V_A	Vehicle	1	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
V_B	V_B	Vehicle	2	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
V_C	V_C	Vehicle	3	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL4_A	IL4_A	IL4	1	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL4_B	IL4_B	IL4	2	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL4_C	IL4_C	IL4	3	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL13_A	IL13_A	IL13	1	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL13_B	IL13_B	IL13	2	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
IL13_C	IL13_C	IL13	3	circRNA microarray	independently cultured and treated biological replicate	Arraystar normalized log2 expression matrix column
