feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-548ap-3p	hsa-miR-548ap-3p	1.23464718844218	0.227304404930189	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548t-3p	hsa-miR-548t-3p	-0.730791489644019	0.431815740337546	0.720900438986339	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548e-3p	hsa-miR-548e-3p	-0.0800583401325885	0.931175680853818	0.967139668527713	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548az-3p	hsa-miR-548az-3p	-0.281329139517312	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548bc	hsa-miR-548bc	0.777916931429344	0.28776535781928	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1537-3p	hsa-miR-1537-3p	-0.653900188765632	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548av-3p	hsa-miR-548av-3p	-0.725957193452202	0.203408229473114	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320d	hsa-miR-320d	-1.17013943282932	0.0173384396916561	0.71519809890531	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-320b	hsa-miR-320b	-0.386315077044817	0.264952419473676	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320a-3p	hsa-miR-320a-3p	-0.269348472863539	0.200956261593601	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320c	hsa-miR-320c	-0.642062720473238	0.420400432054752	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4484	hsa-miR-4484	-0.586387173407926	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ak	hsa-miR-548ak	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548w	hsa-miR-548w	0.126210623590856	0.905631427163242	0.955703376158495	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548y	hsa-miR-548y	-0.430456773071619	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548h-5p	hsa-miR-548h-5p	-0.168849300163947	0.736397306226857	0.900762210036989	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ar-5p	hsa-miR-548ar-5p	-0.653900188765632	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548a-5p	hsa-miR-548a-5p	-0.430456773071619	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548i	hsa-miR-548i	0.491354103306913	0.599494876856309	0.838059663983451	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548j-5p	hsa-miR-548j-5p	-0.457173378709774	0.589964043058793	0.83501311926529	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548au-5p	hsa-miR-548au-5p	-0.26510214728816	0.756014638908798	0.902838259180939	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548c-5p	hsa-miR-548c-5p	-1.0964489848779	0.371383834495998	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ab	hsa-miR-548ab	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548b-5p	hsa-miR-548b-5p	0.573841848633043	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ad-5p	hsa-miR-548ad-5p	0.598252524007187	0.182143633765386	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548ay-5p	hsa-miR-548ay-5p	-0.653335375725269	0.314085719371437	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548d-5p	hsa-miR-548d-5p	0.58079364350558	0.677978937859753	0.873109896255419	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548av-5p	hsa-miR-548av-5p	-0.444628053934891	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548k	hsa-miR-548k	-0.294847362908839	0.75938619267827	0.902838259180939	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548l	hsa-miR-548l	0.40654107463009	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-106a-5p	hsa-miR-106a-5p	0.0921994518123932	0.783512642746061	0.916092925419895	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548at-5p	hsa-miR-548at-5p	-0.281329139517312	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-495-3p	hsa-miR-495-3p	-0.412857080083407	0.723055739139492	0.896635373884181	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-543	hsa-miR-543	-0.92209131962545	0.192079609906741	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3129-3p	hsa-miR-3129-3p	-1.10209999498987	0.202379901068413	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-641	hsa-miR-641	0.980661797338937	0.336333056836787	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3617-5p	hsa-miR-3617-5p	-0.879274975956817	0.342942049977908	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10527-5p	hsa-miR-10527-5p	-0.168495966452019	0.846992816418154	0.93256780588044	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-320e	hsa-miR-320e	0.812291057507767	0.538939974236118	0.799173285193647	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-651-3p	hsa-miR-651-3p	0.485404222313613	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-148a-5p	hsa-miR-148a-5p	-0.483010495826327	0.670308800483376	0.87299176462366	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1277-5p	hsa-miR-1277-5p	-1.12450671550964	0.195107621130444	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-362-3p	hsa-miR-362-3p	-0.0800583401325885	0.931175680853818	0.967139668527713	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-329-3p	hsa-miR-329-3p	-0.0934252689642223	0.812386956899157	0.922507172387301	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-376c-3p	hsa-miR-376c-3p	0.284376047477586	0.086000933198087	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-499b-3p	hsa-miR-499b-3p	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-181c-5p	hsa-miR-181c-5p	0.333331986667362	0.713455037286693	0.890699826976486	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-181a-5p	hsa-miR-181a-5p	-0.195686566073068	0.134377488274299	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-181b-5p	hsa-miR-181b-5p	-0.385651239919635	0.0242618836328768	0.71519809890531	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-181d-5p	hsa-miR-181d-5p	-1.60455894374955	0.136970283164372	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-181c-3p	hsa-miR-181c-3p	-1.4902516502428	0.140624748419804	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-100-5p	hsa-miR-100-5p	-0.0371111749877535	0.845092437636186	0.93256780588044	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-99a-5p	hsa-miR-99a-5p	0.676792299533282	0.0664057200009624	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4798-3p	hsa-miR-4798-3p	-0.67164322191825	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-193b-3p	hsa-miR-193b-3p	-0.27310808327283	0.326518709395712	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-193a-3p	hsa-miR-193a-3p	0.618294556342523	0.297224074095827	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-452-5p	hsa-miR-452-5p	-0.000982367253044902	0.997302186845457	0.99830550896502	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-483-5p	hsa-miR-483-5p	-0.362210751240921	0.151971598346629	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4499	hsa-miR-4499	0.99355799385779	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-576-3p	hsa-miR-576-3p	-0.579667665890288	0.522302994015438	0.785034062185357	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6838-5p	hsa-miR-6838-5p	-0.430456773071619	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1179	hsa-miR-1179	0.841781572291896	0.406331083979141	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6779-3p	hsa-miR-6779-3p	-0.430456773071619	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-22-3p	hsa-miR-22-3p	0.420599493717136	0.0381278281043904	0.71519809890531	TRUE	FALSE	up	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-28-5p	hsa-miR-28-5p	-0.467714524673148	0.282076670755255	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-708-5p	hsa-miR-708-5p	1.06979615033284	0.156107052871249	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3158-3p	hsa-miR-3158-3p	0.721996583570707	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-148b-5p	hsa-miR-148b-5p	-0.431777103543126	0.260388468511467	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-369-3p	hsa-miR-369-3p	0.0436807730821709	0.812893565892058	0.922507172387301	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-7705	hsa-miR-7705	-0.444628053934891	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-410-3p	hsa-miR-410-3p	0.772683242824224	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-656-3p	hsa-miR-656-3p	-0.439476392783952	0.501406623569011	0.771614181033681	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-34c-3p	hsa-miR-34c-3p	-1.37232148731753	0.199917883806415	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-5094	hsa-miR-5094	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-154-3p	hsa-miR-154-3p	-0.155509633671125	0.83086265324691	0.929930641148117	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-487a-3p	hsa-miR-487a-3p	0.783642773705544	0.500755731321571	0.771614181033681	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-382-3p	hsa-miR-382-3p	0.0543795235981106	0.833322797668251	0.930549082894401	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4733-5p	hsa-miR-4733-5p	0.62364792046265	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-362-5p	hsa-miR-362-5p	1.6893932538255	0.215877449500974	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-501-5p	hsa-miR-501-5p	0.277368529635816	0.763102488413236	0.902838259180939	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-487b-3p	hsa-miR-487b-3p	0.204168523328654	0.238672441602282	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-425-5p	hsa-miR-425-5p	-0.0395308251738289	0.762571465817927	0.902838259180939	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-501-3p	hsa-miR-501-3p	0.125211935112778	0.814010498365644	0.922507172387301	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-502-3p	hsa-miR-502-3p	-0.561228316701904	0.634127788316588	0.848060684643824	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-1246	hsa-miR-1246	0.592618781282532	0.556849762440501	0.809002632923718	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-652-3p	hsa-miR-652-3p	0.49123836594614	0.269823390682957	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-889-5p	hsa-miR-889-5p	-0.444628053934891	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3668	hsa-miR-3668	-0.87508482700651	0.183610461726134	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4781-3p	hsa-miR-4781-3p	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-10399-5p	hsa-miR-10399-5p	-1.46597931053224	0.24248085744231	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-363-3p	hsa-miR-363-3p	-0.335086053839982	0.0328216711868629	0.71519809890531	TRUE	FALSE	down	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-4699-3p	hsa-miR-4699-3p	0.721996583570707	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3613-3p	hsa-miR-3613-3p	0.240907506419403	0.494038165597078	0.766876715708412	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3681-3p	hsa-miR-3681-3p	0.40654107463009	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-4717-3p	hsa-miR-4717-3p	-0.281329139517312	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6500-3p	hsa-miR-6500-3p	0.040776168378722	0.953599986431037	0.975161342753219	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-499b-5p	hsa-miR-499b-5p	-0.281329139517312	0.422649730810374	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6847-5p	hsa-miR-6847-5p	-0.319416118822113	0.600889984934272	0.838059663983451	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-214-3p	hsa-miR-214-3p	0.180778491840621	0.586589986678914	0.832606329166219	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-125a-3p	hsa-miR-125a-3p	-0.163462780884173	0.347381976400987	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-199a-3p	hsa-miR-199a-3p	-0.220830030125875	0.202344010341997	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-622	hsa-miR-622	0			FALSE	FALSE	unchanged	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-3691-3p	hsa-miR-3691-3p	0.40654107463009	0.422649730810374	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-181a-2-3p	hsa-miR-181a-2-3p	-0.389582913309399	0.116902110580861	0.71519809890531	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-665	hsa-miR-665	0.657518210619552	0.328682289984914	0.71519809890531	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
