feature_id	gene_symbol	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
ENSG00000075151	EIF4G3	EIF4G3	0.00447351610295428	0.953690336917983	0.990765086372718	FALSE	FALSE	up
ENSG00000075188	NUP37	NUP37	-0.124610394602277	0.368043470977298	0.781738014508913	FALSE	FALSE	down
ENSG00000075213	SEMA3A	SEMA3A	0.0203273722992322	0.905771173836659	0.982098563226589	FALSE	FALSE	up
ENSG00000075218	GTSE1	GTSE1	-0.343021235376695	0.0136655107082024	0.133479520853251	FALSE	FALSE	down
ENSG00000075223	SEMA3C	SEMA3C	0.371491060334429	0.00101695968305382	0.0188285511689211	FALSE	FALSE	up
ENSG00000075234	TTC38	TTC38	-0.134999152053322	0.232240820835789	0.666301314581934	FALSE	FALSE	down
ENSG00000075239	ACAT1	ACAT1	-0.0217272895263805	0.814378920406661	0.966168990416345	FALSE	FALSE	down
ENSG00000075240	GRAMD4	GRAMD4	0.411958877442966	0.00125824718943815	0.0220146073882073	FALSE	FALSE	up
ENSG00000075275	CELSR1	CELSR1	-0.128110801999239	0.494332140875942	0.85941298455391	FALSE	FALSE	down
ENSG00000075292	ZNF638	ZNF638	0.00618488562087012	0.937060330174661	0.988886856270863	FALSE	FALSE	up
ENSG00000075303	SLC25A40	SLC25A40	0.132253083410153	0.316574285709429	0.747737137542166	FALSE	FALSE	up
ENSG00000075336	TIMM21	TIMM21	0.154980634810302	0.179859546319424	0.601695523382644	FALSE	FALSE	up
ENSG00000075391	RASAL2	RASAL2	-0.0770440954595157	0.443601073767229	0.831084418597193	FALSE	FALSE	down
ENSG00000075399	VPS9D1	VPS9D1	-0.0879013735532241	0.530935088237974	0.87429393294905	FALSE	FALSE	down
ENSG00000075407	ZNF37A	ZNF37A	-0.000371548043124159	0.99642976029303	0.999895844430927	FALSE	FALSE	down
ENSG00000075413	MARK3	MARK3	-0.00713711142398256	0.930614797400792	0.987448967271993	FALSE	FALSE	down
ENSG00000075415	SLC25A3	SLC25A3	0.0234171454149075	0.775343516457774	0.962046900100984	FALSE	FALSE	up
ENSG00000075420	FNDC3B	FNDC3B	0.387441311321894	3.95796247142047e-06	0.000157385229296797	FALSE	FALSE	up
ENSG00000075426	FOSL2	FOSL2	-0.0837469547488034	0.319457726229009	0.750509673520535	FALSE	FALSE	down
ENSG00000075539	FRYL	FRYL	0.0255390786392721	0.750698045926139	0.955598113270791	FALSE	FALSE	up
ENSG00000075568	TMEM131	TMEM131	0.154241764588664	0.0511057321948677	0.314983238014779	FALSE	FALSE	up
ENSG00000075618	FSCN1	FSCN1	-0.105287438506892	0.315932062798235	0.746724262577998	FALSE	FALSE	down
ENSG00000075624	ACTB	ACTB	-0.159397303980522	0.0684188724963042	0.368897903825412	FALSE	FALSE	down
ENSG00000075643	MOCOS	MOCOS	-0.230975637660569	0.0682745178986029	0.368403402863047	FALSE	FALSE	down
ENSG00000075651	PLD1	PLD1	0.466471026664543	0.000231640325575696	0.00546757105747558	FALSE	FALSE	up
ENSG00000075702	WDR62	WDR62	-0.0980522245598254	0.359470383015716	0.777520367011234	FALSE	FALSE	down
ENSG00000075711	DLG1	DLG1	0.0138322151126705	0.897105022270007	0.980666998856927	FALSE	FALSE	up
ENSG00000075785	RAB7A	RAB7A	0.117948864044883	0.182603922604297	0.605776145272223	FALSE	FALSE	up
ENSG00000075826	SEC31B	SEC31B	-0.047629839405604	0.753320537363087	0.956380313943789	FALSE	FALSE	down
ENSG00000075856	SART3	SART3	-0.0114722568152775	0.886073846722967	0.978378223392487	FALSE	FALSE	down
ENSG00000075914	EXOSC7	EXOSC7	0.0910096802156439	0.326398077148078	0.755703879127814	FALSE	FALSE	up
ENSG00000075945	KIFAP3	KIFAP3	-0.216018349654358	0.140835630776278	0.542079707968763	FALSE	FALSE	down
