"Name","Chromosome","Region","Identifier","IL4_B_S8_L001 (trimmed, grouped on mature) - Total counts","IL4_B_S8_L001 (trimmed, grouped on mature) - RPKM","IL4_B_S8_L001 (trimmed, grouped on mature) - TPM","IL4_B_S8_L001 (trimmed, grouped on mature) - CPM","IL4_A_S7_L001 (trimmed, grouped on mature) - Total counts","IL4_A_S7_L001 (trimmed, grouped on mature) - RPKM","IL4_A_S7_L001 (trimmed, grouped on mature) - TPM","IL4_A_S7_L001 (trimmed, grouped on mature) - CPM","IL4_C_S9_L001 (trimmed, grouped on mature) - Total counts","IL4_C_S9_L001 (trimmed, grouped on mature) - RPKM","IL4_C_S9_L001 (trimmed, grouped on mature) - TPM","IL4_C_S9_L001 (trimmed, grouped on mature) - CPM","IL13_C_S6_L001 (trimmed, grouped on mature) - Total counts","IL13_C_S6_L001 (trimmed, grouped on mature) - RPKM","IL13_C_S6_L001 (trimmed, grouped on mature) - TPM","IL13_C_S6_L001 (trimmed, grouped on mature) - CPM","IL13_A_S4_L001 (trimmed, grouped on mature) - Total counts","IL13_A_S4_L001 (trimmed, grouped on mature) - RPKM","IL13_A_S4_L001 (trimmed, grouped on mature) - TPM","IL13_A_S4_L001 (trimmed, grouped on mature) - CPM","IL13_B_S5_L001 (trimmed, grouped on mature) - Total counts","IL13_B_S5_L001 (trimmed, grouped on mature) - RPKM","IL13_B_S5_L001 (trimmed, grouped on mature) - TPM","IL13_B_S5_L001 (trimmed, grouped on mature) - CPM","V_A_S1_L001 (trimmed, grouped on mature) - Total counts","V_A_S1_L001 (trimmed, grouped on mature) - RPKM","V_A_S1_L001 (trimmed, grouped on mature) - TPM","V_A_S1_L001 (trimmed, grouped on mature) - CPM","V_B_S2_L001 (trimmed, grouped on mature) - Total counts","V_B_S2_L001 (trimmed, grouped on mature) - RPKM","V_B_S2_L001 (trimmed, grouped on mature) - TPM","V_B_S2_L001 (trimmed, grouped on mature) - CPM","V_C_S3_L001 (trimmed, grouped on mature) - Total counts","V_C_S3_L001 (trimmed, grouped on mature) - RPKM","V_C_S3_L001 (trimmed, grouped on mature) - TPM","V_C_S3_L001 (trimmed, grouped on mature) - CPM"
"hsa-miR-4780","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017424","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6832-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022677","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4671-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017302","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4485-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016846","1","NaN","NaN","2.2978494638","2","NaN","NaN","2.6577177714","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.5673855264","0","NaN","NaN","0","1","NaN","NaN","1.4476042667","2","NaN","NaN","1.5900088947"
"hsa-miR-6827-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022672","0","NaN","NaN","0","1","NaN","NaN","1.3288588857","2","NaN","NaN","3.4877420399","0","NaN","NaN","0","1","NaN","NaN","0.9978280374","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1973","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0009983","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.2836927632","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","0.7950044474"
"hsa-miR-132-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000449","10","NaN","NaN","22.9784946375","14","NaN","NaN","18.6040244001","11","NaN","NaN","19.1825812196","33","NaN","NaN","35.9387223945","13","NaN","NaN","12.9717644858","33","NaN","NaN","42.3618611855","31","NaN","NaN","47.1449355424","21","NaN","NaN","30.399689601","44","NaN","NaN","34.9801956834"
"hsa-miR-660-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003684","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-10401-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0033425","1","NaN","NaN","2.2978494638","10","NaN","NaN","13.2885888572","2","NaN","NaN","3.4877420399","18","NaN","NaN","19.6029394879","11","NaN","NaN","10.9761084111","3","NaN","NaN","3.8510782896","7","NaN","NaN","10.6456306063","3","NaN","NaN","4.3428128001","10","NaN","NaN","7.9500444735"
"hsa-miR-3140-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014163","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-544b","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014159","1","NaN","NaN","2.2978494638","0","NaN","NaN","0","1","NaN","NaN","1.74387102","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4722-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017357","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3690","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016091","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-8073","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0025909","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-221-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000298","44","NaN","NaN","101.1053764052","115","NaN","NaN","152.8187718576","116","NaN","NaN","202.2890383161","122","NaN","NaN","132.8643676404","123","NaN","NaN","122.7328485964","167","NaN","NaN","214.3766914537","159","NaN","NaN","241.8078952013","111","NaN","NaN","160.6840736055","183","NaN","NaN","145.4858138651"
"hsa-miR-6742-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022587","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4421","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016758","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3667-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016068","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1248","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006383","17","NaN","NaN","39.0634408838","25","NaN","NaN","33.221472143","21","NaN","NaN","36.6212914193","7","NaN","NaN","7.6233653564","19","NaN","NaN","18.95873271","30","NaN","NaN","38.5107828959","28","NaN","NaN","42.5825224254","24","NaN","NaN","34.7425024012","11","NaN","NaN","8.7450489209"
"hsa-miR-6841-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022687","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1915-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0008336","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-212-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000288","0","NaN","NaN","0","3","NaN","NaN","3.9865766572","3","NaN","NaN","5.2316130599","6","NaN","NaN","6.5343131626","0","NaN","NaN","0","7","NaN","NaN","8.9858493424","5","NaN","NaN","7.6040218617","4","NaN","NaN","5.7904170669","0","NaN","NaN","0"
"hsa-miR-1249-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006384","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.0890521938","3","NaN","NaN","2.9934841121","1","NaN","NaN","1.2836927632","0","NaN","NaN","0","0","NaN","NaN","0","6","NaN","NaN","4.7700266841"
"hsa-miR-5091","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017980","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-105-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000111","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6075","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0020352","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-7112-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022963","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6777-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022622","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-137-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000454","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.74387102","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-125b-1-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000446","25","NaN","NaN","57.4462365938","48","NaN","NaN","63.7852265145","37","NaN","NaN","64.5232277388","52","NaN","NaN","56.6307140762","66","NaN","NaN","65.8566504664","57","NaN","NaN","73.1704875022","75","NaN","NaN","114.0603279251","52","NaN","NaN","75.2754218692","66","NaN","NaN","52.4702935251"
"hsa-miR-1250-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006385","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1306-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006443","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-5707","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019315","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4509","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016873","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-190b-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0005545","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-616-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003629","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-371b-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017393","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-373-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000781","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-371a-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000779","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4264","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0015877","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6758-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022603","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.0890521938","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-5695","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019302","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-766-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003836","0","NaN","NaN","0","1","NaN","NaN","1.3288588857","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3925-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016433","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-136-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000475","57","NaN","NaN","130.977419434","90","NaN","NaN","119.5972997147","68","NaN","NaN","118.5832293577","93","NaN","NaN","101.2818540209","121","NaN","NaN","120.7371925217","124","NaN","NaN","159.1779026363","75","NaN","NaN","114.0603279251","71","NaN","NaN","102.7799029368","126","NaN","NaN","100.1705603661"
"hsa-miR-6814-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022659","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1307-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006444","27","NaN","NaN","62.0419355214","57","NaN","NaN","75.7449564859","39","NaN","NaN","68.0109697787","80","NaN","NaN","87.1241755019","104","NaN","NaN","103.7741158864","69","NaN","NaN","88.5748006605","68","NaN","NaN","103.4146973188","69","NaN","NaN","99.8846944034","114","NaN","NaN","90.6305069979"
"hsa-miR-4638-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017265","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-1251-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0006386","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-130b-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000748","6","NaN","NaN","13.7870967825","23","NaN","NaN","30.5637543715","5","NaN","NaN","8.7193550998","21","NaN","NaN","22.8700960692","29","NaN","NaN","28.9370130837","27","NaN","NaN","34.6597046063","24","NaN","NaN","36.499304936","25","NaN","NaN","36.1901066679","24","NaN","NaN","19.0801067364"
"hsa-miR-5187-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0018166","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.74387102","0","NaN","NaN","0","2","NaN","NaN","1.9956560747","0","NaN","NaN","0","8","NaN","NaN","12.1664349787","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3660","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016061","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6751-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022596","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3920","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016427","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-29a-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000087","34","NaN","NaN","78.1268817676","57","NaN","NaN","75.7449564859","26","NaN","NaN","45.3406465191","45","NaN","NaN","49.0073487198","56","NaN","NaN","55.8783700927","64","NaN","NaN","82.1563368445","65","NaN","NaN","98.8522842018","36","NaN","NaN","52.1137536018","81","NaN","NaN","64.3953602354"
"hsa-miR-17-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000071","38","NaN","NaN","87.3182796226","56","NaN","NaN","74.4160976002","38","NaN","NaN","66.2670987587","52","NaN","NaN","56.6307140762","88","NaN","NaN","87.8088672885","54","NaN","NaN","69.3194092126","35","NaN","NaN","53.2281530317","36","NaN","NaN","52.1137536018","78","NaN","NaN","62.0103468933"
"hsa-miR-20a-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000076","24","NaN","NaN","55.1483871301","58","NaN","NaN","77.0738153717","28","NaN","NaN","48.8283885591","45","NaN","NaN","49.0073487198","62","NaN","NaN","61.8653383169","56","NaN","NaN","71.886794739","28","NaN","NaN","42.5825224254","46","NaN","NaN","66.5897962689","62","NaN","NaN","49.2902757357"
"hsa-miR-18a-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000072","9","NaN","NaN","20.6806451738","12","NaN","NaN","15.9463066286","4","NaN","NaN","6.9754840799","3","NaN","NaN","3.2671565813","8","NaN","NaN","7.982624299","7","NaN","NaN","8.9858493424","8","NaN","NaN","12.1664349787","2","NaN","NaN","2.8952085334","17","NaN","NaN","13.515075605"
"hsa-miR-93-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000095","30","NaN","NaN","68.9354839126","40","NaN","NaN","53.1543554287","54","NaN","NaN","94.1690350782","47","NaN","NaN","51.1854531074","38","NaN","NaN","37.91746542","53","NaN","NaN","68.0357164494","39","NaN","NaN","59.3113705211","57","NaN","NaN","82.5134432028","71","NaN","NaN","56.4453157619"
"hsa-miR-6128","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0021272","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378i","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016902","1","NaN","NaN","2.2978494638","2","NaN","NaN","2.6577177714","0","NaN","NaN","0","5","NaN","NaN","5.4452609689","2","NaN","NaN","1.9956560747","4","NaN","NaN","5.1347710528","1","NaN","NaN","1.5208043723","6","NaN","NaN","8.6856256003","1","NaN","NaN","0.7950044474"
"hsa-miR-422a","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0001444","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","2.5673855264","0","NaN","NaN","0","1","NaN","NaN","1.4476042667","0","NaN","NaN","0"
"hsa-miR-378f","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016756","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","3","NaN","NaN","3.8510782896","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378b","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014154","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378d","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003840","0","NaN","NaN","0","8","NaN","NaN","10.6308710857","0","NaN","NaN","0","9","NaN","NaN","9.801469744","0","NaN","NaN","0","0","NaN","NaN","0","2","NaN","NaN","3.0416087447","1","NaN","NaN","1.4476042667","5","NaN","NaN","3.9750222368"
"hsa-miR-378c","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0015825","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.0890521938","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378a-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000786","47","NaN","NaN","107.9989247964","73","NaN","NaN","97.0066986574","64","NaN","NaN","111.6077452778","107","NaN","NaN","116.5285847338","114","NaN","NaN","113.7523962601","127","NaN","NaN","163.0289809259","106","NaN","NaN","161.2052634675","80","NaN","NaN","115.8083413373","174","NaN","NaN","138.330773839"
"hsa-miR-378e","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016750","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.5208043723","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378h","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016808","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-378j","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0021273","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-6868-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0022715","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4799-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0017446","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-5588-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0019147","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-3176","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0014210","0","NaN","NaN","0","0","NaN","NaN","0","1","NaN","NaN","1.74387102","1","NaN","NaN","1.0890521938","1","NaN","NaN","0.9978280374","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
