"Name","Chromosome","Region","Identifier","IL4_B_S8_L001 (trimmed, grouped on mature) - Total counts","IL4_B_S8_L001 (trimmed, grouped on mature) - RPKM","IL4_B_S8_L001 (trimmed, grouped on mature) - TPM","IL4_B_S8_L001 (trimmed, grouped on mature) - CPM","IL4_A_S7_L001 (trimmed, grouped on mature) - Total counts","IL4_A_S7_L001 (trimmed, grouped on mature) - RPKM","IL4_A_S7_L001 (trimmed, grouped on mature) - TPM","IL4_A_S7_L001 (trimmed, grouped on mature) - CPM","IL4_C_S9_L001 (trimmed, grouped on mature) - Total counts","IL4_C_S9_L001 (trimmed, grouped on mature) - RPKM","IL4_C_S9_L001 (trimmed, grouped on mature) - TPM","IL4_C_S9_L001 (trimmed, grouped on mature) - CPM","IL13_C_S6_L001 (trimmed, grouped on mature) - Total counts","IL13_C_S6_L001 (trimmed, grouped on mature) - RPKM","IL13_C_S6_L001 (trimmed, grouped on mature) - TPM","IL13_C_S6_L001 (trimmed, grouped on mature) - CPM","IL13_A_S4_L001 (trimmed, grouped on mature) - Total counts","IL13_A_S4_L001 (trimmed, grouped on mature) - RPKM","IL13_A_S4_L001 (trimmed, grouped on mature) - TPM","IL13_A_S4_L001 (trimmed, grouped on mature) - CPM","IL13_B_S5_L001 (trimmed, grouped on mature) - Total counts","IL13_B_S5_L001 (trimmed, grouped on mature) - RPKM","IL13_B_S5_L001 (trimmed, grouped on mature) - TPM","IL13_B_S5_L001 (trimmed, grouped on mature) - CPM","V_A_S1_L001 (trimmed, grouped on mature) - Total counts","V_A_S1_L001 (trimmed, grouped on mature) - RPKM","V_A_S1_L001 (trimmed, grouped on mature) - TPM","V_A_S1_L001 (trimmed, grouped on mature) - CPM","V_B_S2_L001 (trimmed, grouped on mature) - Total counts","V_B_S2_L001 (trimmed, grouped on mature) - RPKM","V_B_S2_L001 (trimmed, grouped on mature) - TPM","V_B_S2_L001 (trimmed, grouped on mature) - CPM","V_C_S3_L001 (trimmed, grouped on mature) - Total counts","V_C_S3_L001 (trimmed, grouped on mature) - RPKM","V_C_S3_L001 (trimmed, grouped on mature) - TPM","V_C_S3_L001 (trimmed, grouped on mature) - CPM"
"hsa-miR-4422","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016759","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4429","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016768","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-320d","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0008190","2","NaN","NaN","4.5956989275","3","NaN","NaN","3.9865766572","4","NaN","NaN","6.9754840799","10","NaN","NaN","10.8905219377","15","NaN","NaN","14.9674205605","10","NaN","NaN","12.836927632","8","NaN","NaN","12.1664349787","8","NaN","NaN","11.5808341337","18","NaN","NaN","14.3100800523"
"hsa-miR-320b","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003776","3","NaN","NaN","6.8935483913","9","NaN","NaN","11.9597299715","7","NaN","NaN","12.2070971398","4","NaN","NaN","4.3562087751","11","NaN","NaN","10.9761084111","5","NaN","NaN","6.418463816","11","NaN","NaN","16.7288480957","9","NaN","NaN","13.0284384004","14","NaN","NaN","11.1300622629"
"hsa-miR-320a-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0000542","241","NaN","NaN","553.7817207647","474","NaN","NaN","629.8791118305","416","NaN","NaN","725.450344306","757","NaN","NaN","824.4125106865","636","NaN","NaN","634.6186317667","527","NaN","NaN","676.5060862043","532","NaN","NaN","809.0679260823","596","NaN","NaN","862.7721429628","799","NaN","NaN","635.208553433"
"hsa-miR-320c","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0003778","4","NaN","NaN","9.191397855","6","NaN","NaN","7.9731533143","20","NaN","NaN","34.8774203993","17","NaN","NaN","18.5138872941","20","NaN","NaN","19.9565607474","17","NaN","NaN","21.8227769743","16","NaN","NaN","24.3328699574","15","NaN","NaN","21.7140640007","26","NaN","NaN","20.6701156311"
"hsa-miR-548an","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016907","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-4484","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0016845","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","3","NaN","NaN","2.3850133421"
"hsa-miR-10526-3p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0033673","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
"hsa-miR-548bb-5p","","","https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MI0029321","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0","0","NaN","NaN","0"
