query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	1	57	30	1	0.0333333333333333	0.0175438596491228	GO:0000018	GO:BP	regulation of DNA recombination	5591	5	GO:0006310;GO:0051052
query_1	FALSE	1	36	30	1	0.0333333333333333	0.0277777777777778	GO:0000041	GO:BP	transition metal ion transport	5591	15	GO:0030001
query_1	FALSE	1	8	30	1	0.0333333333333333	0.125	GO:0000054	GO:BP	ribosomal subunit export from nucleus	5591	20	GO:0033750;GO:0042254;GO:0051168;GO:0051656
query_1	FALSE	1	6	30	1	0.0333333333333333	0.166666666666667	GO:0000055	GO:BP	ribosomal large subunit export from nucleus	5591	21	GO:0000054
query_1	FALSE	1	5	30	1	0.0333333333333333	0.2	GO:0000056	GO:BP	ribosomal small subunit export from nucleus	5591	22	GO:0000054
query_1	FALSE	1	337	30	2	0.0666666666666667	0.00593471810089021	GO:0000122	GO:BP	negative regulation of transcription by RNA polymerase II	5591	47	GO:0006357;GO:0006366;GO:0045892
query_1	FALSE	1	240	30	2	0.0666666666666667	0.00833333333333333	GO:0000165	GO:BP	MAPK cascade	5591	54	GO:0141124
query_1	FALSE	1	299	30	1	0.0333333333333333	0.00334448160535117	GO:0000226	GO:BP	microtubule cytoskeleton organization	5591	60	GO:0007010;GO:0007017
query_1	FALSE	1	427	30	1	0.0333333333333333	0.00234192037470726	GO:0000278	GO:BP	mitotic cell cycle	5591	75	GO:0007049
query_1	FALSE	1	181	30	2	0.0666666666666667	0.0110497237569061	GO:0000280	GO:BP	nuclear division	5591	77	GO:0048285
query_1	FALSE	1	91	30	1	0.0333333333333333	0.010989010989011	GO:0000724	GO:BP	double-strand break repair via homologous recombination	5591	200	GO:0000725;GO:0006302
query_1	FALSE	1	92	30	1	0.0333333333333333	0.0108695652173913	GO:0000725	GO:BP	recombinational repair	5591	201	GO:0006281;GO:0006310
query_1	FALSE	1	395	30	4	0.133333333333333	0.010126582278481	GO:0000902	GO:BP	cell morphogenesis	5591	230	GO:0009653
query_1	FALSE	1	90	30	1	0.0333333333333333	0.0111111111111111	GO:0000910	GO:BP	cytokinesis	5591	233	GO:0022402;GO:0051301
query_1	FALSE	1	172	30	3	0.1	0.0174418604651163	GO:0001501	GO:BP	skeletal system development	5591	306	GO:0048731
query_1	FALSE	1	156	30	3	0.1	0.0192307692307692	GO:0001503	GO:BP	ossification	5591	308	GO:0032501
query_1	FALSE	1	184	30	1	0.0333333333333333	0.00543478260869565	GO:0001525	GO:BP	angiogenesis	5591	318	GO:0048514;GO:0048646
query_1	FALSE	1	17	30	1	0.0333333333333333	0.0588235294117647	GO:0001541	GO:BP	ovarian follicle development	5591	320	GO:0008585;GO:0048856
query_1	FALSE	1	4	30	1	0.0333333333333333	0.25	GO:0001554	GO:BP	luteolysis	5591	333	GO:0008585;GO:0022602
query_1	FALSE	1	135	30	2	0.0666666666666667	0.0148148148148148	GO:0001558	GO:BP	regulation of cell growth	5591	336	GO:0016049;GO:0040008;GO:0051128
query_1	FALSE	1	268	30	2	0.0666666666666667	0.00746268656716418	GO:0001568	GO:BP	blood vessel development	5591	341	GO:0001944;GO:0048856
query_1	FALSE	1	92	30	3	0.1	0.0326086956521739	GO:0001649	GO:BP	osteoblast differentiation	5591	354	GO:0001503;GO:0030154
query_1	FALSE	1	138	30	2	0.0666666666666667	0.0144927536231884	GO:0001654	GO:BP	eye development	5591	355	GO:0007423;GO:0150063
query_1	FALSE	1	20	30	1	0.0333333333333333	0.05	GO:0001655	GO:BP	urogenital system development	5591	356	GO:0048731
query_1	FALSE	1	31	30	1	0.0333333333333333	0.032258064516129	GO:0001657	GO:BP	ureteric bud development	5591	358	GO:0072164
query_1	FALSE	1	93	30	1	0.0333333333333333	0.010752688172043	GO:0001666	GO:BP	response to hypoxia	5591	364	GO:0006950;GO:0036293
query_1	FALSE	1	97	30	2	0.0666666666666667	0.0206185567010309	GO:0001667	GO:BP	ameboidal-type cell migration	5591	365	GO:0016477
query_1	FALSE	1	47	30	1	0.0333333333333333	0.0212765957446809	GO:0001678	GO:BP	intracellular glucose homeostasis	5591	369	GO:0042593;GO:0055082
query_1	FALSE	1	169	30	1	0.0333333333333333	0.00591715976331361	GO:0001701	GO:BP	in utero embryonic development	5591	380	GO:0043009
query_1	FALSE	1	10	30	1	0.0333333333333333	0.1	GO:0001702	GO:BP	gastrulation with mouth forming second	5591	381	GO:0007369
query_1	FALSE	1	18	30	1	0.0333333333333333	0.0555555555555556	GO:0001755	GO:BP	neural crest cell migration	5591	411	GO:0014032;GO:0090497
query_1	FALSE	1	58	30	3	0.1	0.0517241379310345	GO:0001763	GO:BP	morphogenesis of a branching structure	5591	416	GO:0009653;GO:0032501
query_1	FALSE	1	361	30	3	0.1	0.00831024930747922	GO:0001775	GO:BP	cell activation	5591	427	GO:0009987;GO:0032501
query_1	FALSE	1	40	30	1	0.0333333333333333	0.025	GO:0001776	GO:BP	leukocyte homeostasis	5591	428	GO:0002376;GO:0048872
query_1	FALSE	1	120	30	1	0.0333333333333333	0.00833333333333333	GO:0001822	GO:BP	kidney development	5591	466	GO:0048513;GO:0072001
query_1	FALSE	1	33	30	1	0.0333333333333333	0.0303030303030303	GO:0001823	GO:BP	mesonephros development	5591	467	GO:0001822
query_1	FALSE	1	50	30	1	0.0333333333333333	0.02	GO:0001889	GO:BP	liver development	5591	502	GO:0048732;GO:0061008
query_1	FALSE	1	81	30	1	0.0333333333333333	0.0123456790123457	GO:0001894	GO:BP	tissue homeostasis	5591	506	GO:0048871;GO:0060249
query_1	FALSE	1	183	30	4	0.133333333333333	0.0218579234972678	GO:0001932	GO:BP	regulation of protein phosphorylation	5591	533	GO:0006468;GO:0031399;GO:0042325
query_1	FALSE	1	59	30	4	0.133333333333333	0.0677966101694915	GO:0001933	GO:BP	negative regulation of protein phosphorylation	5591	534	GO:0001932;GO:0006468;GO:0031400;GO:0042326
query_1	FALSE	1	279	30	2	0.0666666666666667	0.00716845878136201	GO:0001944	GO:BP	vasculature development	5591	542	GO:0048731;GO:0072359
