feature_id	V_A	V_B	V_C	IL13_A	IL13_B	IL13_C
KITLG|hsa_circRNA_002375	6.20386640445858	5.98217180920181	6.14731991755474	6.73760541526429	6.7688104523706	6.87675682328008
FRMD4A|hsa_circRNA_004183	7.10261829505317	7.1474037673752	7.06360581623205	7.58155700118219	7.49134169053569	7.70864390448789
KIAA1199|hsa_circRNA_101622	5.56283886932124	5.51631583478697	4.94343089252499	7.39129213917631	7.59156460350847	7.79796829197676
KIAA1199|hsa_circRNA_101621	6.79503071476916	6.82220021989192	7.13662188638456	7.6938166914077	7.61546685182019	8.02540158347189
CSPP1|hsa_circRNA_104641	6.22545027888398	6.18195470726915	6.11299161897882	6.55446238863621	6.43634295900006	6.52125292101705
TNC|hsa_circRNA_088194	5.38053646761238	5.15392170610486	5.25812459198779	6.92603348838424	7.23938726854773	7.06898822812593
PAPPA|hsa_circRNA_104897	6.34168109276589	6.17087278337811	6.23612231953926	6.79503071476916	6.4683766741274	6.49794201865506
LIFR|hsa_circRNA_103819	5.45185526188975	5.22207398427893	4.90113959980343	5.75615107309555	5.88108226082597	5.75763326620477
EML5|hsa_circRNA_101424	5.7753018144674	6.15746112245478	5.84109490760088	6.18471193839849	6.26663215574778	6.52865091945837
SPECC1L|hsa_circRNA_103180	5.66589123605608	5.59470063029643	5.4628006918294	5.89596457997588	5.95981096352755	5.95141643301414
LIFR|hsa_circRNA_103820	6.63731051495528	6.18195470726915	5.87563221802881	7.10086770039821	7.23407317836233	6.91942728170662
MTF2|hsa_circRNA_013190	6.84399199993601	6.83559547488887	7.05338392237666	7.2163964924206	7.28275469089775	7.26201740352044
MAPKAPK3|hsa_circRNA_103383	8.32038731819241	8.40202945595962	8.03184719610946	9.03981037040583	9.22210413396243	8.73571616216634
TNC|hsa_circRNA_088200	5.46461688388837	5.41005402743182	5.68237304960349	6.99111344354328	7.50110810917159	7.29760499366508
MAN2A1|hsa_circRNA_403404	6.59855022372492	6.80867942498266	6.69878312842714	6.98574815087892	7.10378417915462	7.124036097808
SLC39A8|hsa_circRNA_103706	8.0746920532008	8.29100480992159	7.90383221229413	8.45048997111922	8.32938567654163	8.67210150270772
ENGASE|hsa_circRNA_102216	6.80867942498266	6.51906979977683	6.68248878342443	6.95506973611823	7.2001366423589	7.1902920360074
KIAA1199|hsa_circRNA_004585	5.22421972932319	5.34153451831661	5.55433591450838	5.6627303817053	5.706364303666	5.78550941558437
FNDC3B|hsa_circRNA_103517	7.79038531356607	7.79183276661833	7.45091415631758	8.3045038649261	8.37584835220632	8.05644253996934
ENGASE|hsa_circRNA_102215	6.46656521203149	6.49439044338612	6.3739301287216	6.77101376758442	6.95539268874075	6.90679153383347
PSMA3|hsa_circRNA_101361	5.13807650327397	5.37668337916325	4.90113959980343	5.47005178193094	5.73373348035643	5.68159245635727
CD44|hsa_circRNA_100796	7.60644703595932	7.60129690503108	7.35356427408557	8.04054900530158	8.296496077058	7.97181549134636
ATXN1|hsa_circRNA_104066	6.75663170021944	6.4683766741274	6.73760541526429	6.99614496850017	7.11365633674601	6.99079838982609
TMEM2|hsa_circRNA_087192	6.36033665897199	6.5731015529119	6.35054801751437	6.90545499445863	6.85233993960698	6.65491578162461
EPB41|hsa_circRNA_100126	5.68159245635727	5.76502147584604	5.43157038605022	6.0097996232559	6.03812847819805	5.98597053760254
PTPN13|hsa_circRNA_070355	6.09434363212669	5.90535583405646	5.99856120889289	6.36228644254858	6.46565862733533	6.28267835016594
UBB|hsa_circRNA_042190	6.7171826391233	6.65252767663661	6.32077717681639	6.92603348838424	7.0415689248698	6.87675682328008
MAN2A1|hsa_circRNA_403406	6.95345388770263	7.15614022100253	6.69878312842714	7.28994288963026	7.48866660726405	7.34914688314989
SLC17A5|hsa_circRNA_406798	5.2602174211123	6.00730975261685	5.40533379075805	6.48457828767404	6.27597101641199	5.93578933245785
SLIT2|hsa_circRNA_008864	5.82986603216671	6.09785853960493	5.99856120889289	6.28216350707264	6.51556991981268	6.44740626004002
PAPPA|hsa_circRNA_104890	7.55963273540861	7.48822027741175	7.53737014414544	7.90901023026013	8.17876213109972	7.92228762083161
ATAD2|hsa_circRNA_085465	6.62274467559123	6.68404857893584	6.39884028634863	6.85233993960698	6.99614496850017	6.86270739174487
NPM1|hsa_circRNA_075021	6.99111344354328	6.59565258258895	6.51074367933559	6.98036283052165	7.02227637163145	7.19522273632213
SLIT2|hsa_circRNA_008689	5.99353811840747	5.94427501742771	6.6509334076745	6.61049312014627	6.95539268874075	6.69104686443534
PDHX|hsa_circRNA_400738	5.74797167905778	5.85223706029197	5.57297670234999	5.96943665223706	6.14505660277376	6.08138187258621
PAPPA|hsa_circRNA_104892	7.11654710266361	6.89404413802807	7.124036097808	7.52719534243071	7.7798476218297	7.45890858787725
RIC8B|hsa_circRNA_006542	6.22545027888398	5.90535583405646	5.94882364290176	6.42145866957966	6.68248878342443	6.44740626004002
RUNX2|hsa_circRNA_005526	6.40547402489005	6.10835217105821	5.98217180920181	6.61049312014627	6.54762435778166	6.34759842699715
CREBBP|hsa_circRNA_037654	6.8770977889388	6.94372060628176	6.38787534397603	7.13832965474406	7.24521024803768	7.11191909279807
CD44|hsa_circRNA_021714	5.2602174211123	4.94863118885259	4.63049561219201	5.21992504307702	5.56622606857323	5.62099637018463
TRIO|hsa_circRNA_071935	7.62199147806813	7.7442178011372	7.34816340119566	7.93985724340709	8.19512655988685	7.90282786509557
LRP5|hsa_circRNA_400780	8.46960828510119	8.16681911207918	7.6879983508074	8.77914509711763	8.99417296139567	8.44521070838199
