feature_id	gene_symbol	display_label	log2_fold_change	original_log10_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
hsa_circRNA_000001	None	None	-0.0301142725934348	-0.00906529934822561	0.439294623011072	0.461839687330535	FALSE	FALSE	down
hsa_circRNA_000006	TCONS_00015354	TCONS_00015354	0.031055935668148	0.00934876817952346	0.429887288734704	0.455854799998013	FALSE	FALSE	up
hsa_circRNA_000010	TCONS_00017720	TCONS_00017720	0.128007612376071	0.0385341309985253	0.0953124159026474	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000011	PHF13	PHF13	0.515699838284042	0.155241120082561	0.0411240440281435	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000013	ENO1	ENO1	0.211919090106939	0.0637940027760068	0.118036653176124	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000015	APITD1	APITD1	0.365517363435044	0.110031690329961	0.0212744071538661	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000016	DFFA	DFFA	0.138795103998141	0.0417814895547423	0.290312049313676	0.362331291658386	FALSE	FALSE	up
hsa_circRNA_000023	HP1BP3	HP1BP3	0.403292291605743	0.121403076793394	0.091443407923899	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000025	EIF4G3	EIF4G3	0.21232380344321	0.0639158336298696	0.0935560473469888	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000028	FOXP1	FOXP1	0.287389676182884	0.0865129129752064	0.200629703001397	0.308124985977935	FALSE	FALSE	up
hsa_circRNA_000029	USP48	USP48	0.555458506411074	0.167209671776447	0.0427108905845824	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000030	E2F2	E2F2	-0.148747446263929	-0.0447774431038589	0.265395878489898	0.346550644436242	FALSE	FALSE	down
hsa_circRNA_000031	SKI	SKI	0.197336773267118	0.0594042880009446	0.224809757965648	0.321064134482651	FALSE	FALSE	up
hsa_circRNA_000041	WASF2	WASF2	0.191659293796841	0.0576951963806246	0.0812273075201334	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000042	C1orf38	C1orf38	-0.42444197722362	-0.127769766563238	0.155766334274422	0.292931811556061	FALSE	FALSE	down
hsa_circRNA_000046	CAP1	CAP1	0.121550775831374	0.0365904295214722	0.189512776745411	0.303845210188522	FALSE	FALSE	up
hsa_circRNA_000049	RNF19B	RNF19B	0.327348370671615	0.0985416786038876	0.101611227182526	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000052	EIF2C1	EIF2C1	0.036159663295418	0.0108851432850307	0.438341781086885	0.461513849051184	FALSE	FALSE	up
hsa_circRNA_000055	CSF3R	CSF3R	0.238041493194953	0.0716576296643244	0.0721854498068608	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000060	None	None	-0.0347654181606764	-0.0104654336781649	0.402740362945491	0.438003912190636	FALSE	FALSE	down
hsa_circRNA_000070	FAF1	FAF1	0.130894066850952	0.0394030403765829	0.320573217614749	0.382202852652981	FALSE	FALSE	up
hsa_circRNA_000074	JUN	JUN	0.116881300295619	0.0351847773211906	0.306588500566331	0.37350413974892	FALSE	FALSE	up
hsa_circRNA_000076	FGGY	FGGY	0.0855539638842833	0.0257543093771222	0.363604759901095	0.410673843304772	FALSE	FALSE	up
hsa_circRNA_000078	USP1	USP1	0.365455470428282	0.110013058678404	0.046585309711933	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000079	USP1	USP1	0.296981737757132	0.0894004112293109	0.0924812104468989	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000082	NVL	NVL	0.0163944382506685	0.00493521767551215	0.47980925280868	0.487567232114524	FALSE	FALSE	up
hsa_circRNA_000083	SRSF11	SRSF11	0.173767067736707	0.0523090996473235	0.212508808256531	0.31406338336708	FALSE	FALSE	up
hsa_circRNA_000084	ANKRD13C	ANKRD13C	0.567920016732159	0.17096096017437	0.0382078012808002	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000085	TCONS_00018414	TCONS_00018414	0.021695071099319	0.00653086715895776	0.443766331377179	0.464940213621139	FALSE	FALSE	up
hsa_circRNA_000089	PKN2	PKN2	0.219641810320413	0.066118773208383	0.2030118891748	0.309622090675384	FALSE	FALSE	up
hsa_circRNA_000095	ADK	ADK	-0.0384741478146355	-0.0115818725498151	0.37536907292946	0.418501997983459	FALSE	FALSE	down
hsa_circRNA_000096	HIAT1	HIAT1	0.328509633057473	0.0988912534148672	0.0912030296409438	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000100	STXBP3	STXBP3	0.198576555350041	0.0597774995959911	0.143995162103864	0.288068102592144	FALSE	FALSE	up
hsa_circRNA_000101	GPSM2	GPSM2	0.327487620229263	0.0985835968976225	0.153978445562787	0.29195503896996	FALSE	FALSE	up
hsa_circRNA_000102	CLCC1	CLCC1	-0.629855159269235	-0.189605295863754	0.198254204407553	0.307057877047866	FALSE	FALSE	down
hsa_circRNA_000103	AMPD2	AMPD2	0.0252794084483578	0.00760986021559717	0.438542685167822	0.461519690209956	FALSE	FALSE	up
hsa_circRNA_000104	FAM53B	FAM53B	0.0796594491776506	0.0239798836405433	0.18849405351308	0.303285800352929	FALSE	FALSE	up
hsa_circRNA_000106	CEPT1	CEPT1	0.5035741738805	0.15159093137974	0.0921581873148813	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000107	ST7L	ST7L	0.324899661418653	0.0978045436680861	0.155874390029742	0.292931811556061	FALSE	FALSE	up
hsa_circRNA_000108	ST7L	ST7L	0.45053618050023	0.135624904462451	0.0360451820545483	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000110	PTPN22	PTPN22	0.249476300539072	0.075099849669543	0.0109933163058972	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000112	AP4B1	AP4B1	0.162271428898877	0.048848567537817	0.309540828435475	0.375411528418419	FALSE	FALSE	up
hsa_circRNA_000113	TP53I11	TP53I11	0.0946368741380752	0.0284885378114375	0.372154251941955	0.416496844988478	FALSE	FALSE	up
hsa_circRNA_000114	None	None	0.298408735935679	0.0898299804848116	0.0236884520988204	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000115	CSDE1	CSDE1	0.206450877467426	0.0621479067488445	0.279774565766491	0.355601570330055	FALSE	FALSE	up
hsa_circRNA_000120	MAN1A2	MAN1A2	0.569260940112723	0.171364618333807	0.136517252515197	0.286430229021255	FALSE	FALSE	up
hsa_circRNA_000121	PHGDH	PHGDH	0.0445951641598733	0.0134244820736812	0.421990787896152	0.450244660426129	FALSE	FALSE	up
hsa_circRNA_000122	TXNIP	TXNIP	0.246181391045164	0.0741079830788787	0.160809499305309	0.293183868912137	FALSE	FALSE	up
hsa_circRNA_000123	TXNIP	TXNIP	0.158616510903133	0.047748327589406	0.34750106040817	0.400042254101256	FALSE	FALSE	up
hsa_circRNA_000124	POLR3C	POLR3C	0.108252890652023	0.032587367203592	0.245178338967883	0.333591884529923	FALSE	FALSE	up
hsa_circRNA_000125	RNF115	RNF115	0.338801913451757	0.101989538537331	0.0847418265557571	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000126	PRUNE	PRUNE	0.195256291398934	0.0587780005531861	0.158094227097565	0.293019821928657	FALSE	FALSE	up
hsa_circRNA_000127	GABPB2	GABPB2	0.492396381985084	0.14822608073393	0.0532028600581586	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000129	TMOD4	TMOD4	0.158114367506909	0.0475971673650178	0.0727137352146338	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000133	ILF2	ILF2	0.286251192630018	0.0861701952762237	0.139696112996695	0.287715886731732	FALSE	FALSE	up
hsa_circRNA_000134	IL6R	IL6R	0.178456635063429	0.0537208000793528	0.214089101757814	0.314982052631657	FALSE	FALSE	up
hsa_circRNA_000139	YAF2	YAF2	0.507940080497312	0.152905200229668	0.0292501282952508	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000140	KIAA0907	KIAA0907	0.071000768901139	0.0213733611544492	0.243877051126822	0.332607972408216	FALSE	FALSE	up
hsa_circRNA_000145	PFDN2	PFDN2	-0.0700784357361403	-0.0210957112057889	0.368393953533977	0.413698880001253	FALSE	FALSE	down
hsa_circRNA_000148	UCK2	UCK2	0.136275349690896	0.0410229679265578	0.321312336327682	0.382585445077874	FALSE	FALSE	up
hsa_circRNA_000150	RCSD1	RCSD1	0.0470253348258876	0.0141560363387342	0.2742965673595	0.351634113638348	FALSE	FALSE	up
hsa_circRNA_000152	None	None	0.488660362422023	0.147101426781061	0.123936189831354	0.285856320084665	FALSE	FALSE	up
hsa_circRNA_000155	DCAF6	DCAF6	0.151647706070205	0.0456505083007664	0.191040569674599	0.304767773767857	FALSE	FALSE	up
hsa_circRNA_000156	NME7	NME7	0.0108067549565826	0.00325315739772177	0.484462828432906	0.490249799641838	FALSE	FALSE	up
hsa_circRNA_000158	SELL	SELL	0.447357624971398	0.134668063905389	0.0192269774274023	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000161	RABGAP1L	RABGAP1L	0.125530882083859	0.0377885608893998	0.174456466426402	0.298428660536692	FALSE	FALSE	up
hsa_circRNA_000163	None	None	0.0509989492036737	0.0153522134576495	0.389563534413305	0.428142630347863	FALSE	FALSE	up
hsa_circRNA_000164	ACBD6	ACBD6	0.357893592175236	0.107736706500678	0.164157508934991	0.294286248271753	FALSE	FALSE	up
hsa_circRNA_000165	STX6	STX6	-0.140955600930895	-0.0424318639370412	0.330339428333049	0.38784755306163	FALSE	FALSE	down
hsa_circRNA_000166	RPPH1	RPPH1	0.0390865862801401	0.0117662348984304	0.423686195514213	0.451283536120793	FALSE	FALSE	up
hsa_circRNA_000167	RPPH1	RPPH1	-0.00427692478180718	-0.00128748264852259	0.491802366833028	0.495444493934099	FALSE	FALSE	down
hsa_circRNA_000168	DENND1B	DENND1B	0.0735811323811074	0.0221501279616356	0.235125776857571	0.32650556005888	FALSE	FALSE	up
hsa_circRNA_000173	ATP2B4	ATP2B4	0.206450877467426	0.0621479067488444	0.163103366319613	0.294150570408301	FALSE	FALSE	up
hsa_circRNA_000174	PIK3C2B	PIK3C2B	0.262011580522686	0.0788733449486569	0.054449123687462	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000175	ELK4	ELK4	0.545881305043174	0.164326646890195	0.113674922264302	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000178	SRSF5	SRSF5	0.275236365116067	0.0828544017974596	0.298655778813541	0.367746533345893	FALSE	FALSE	up
hsa_circRNA_000180	DTL	DTL	0.186067212262195	0.0560118121004976	0.123062495283933	0.285856320084665	FALSE	FALSE	up
hsa_circRNA_000181	TATDN3	TATDN3	0.277533975528909	0.0835460514500749	0.0355511500844892	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000185	BPNT1	BPNT1	0.271205144632232	0.0816408835126903	0.203545691182409	0.309951983779535	FALSE	FALSE	up
hsa_circRNA_000186	MIA3	MIA3	0.0140580409874948	0.00423189201750962	0.466162589057023	0.479303183533613	FALSE	FALSE	up
hsa_circRNA_000188	NVL	NVL	0.15754127698648	0.0474246499281381	0.14458206753295	0.288068102592144	FALSE	FALSE	up
hsa_circRNA_000190	CNIH4	CNIH4	0.317420451793815	0.0955530772271511	0.0591065464333575	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000191	USP3	USP3	-0.0426443374084937	-0.0128372247051722	0.248478765481386	0.335223856036716	FALSE	FALSE	down
hsa_circRNA_000193	None	None	0.180896119263316	0.0544551579974669	0.0609167106555738	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000194	TTC13	TTC13	0.43862431959646	0.132039077026239	0.0793446670782114	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000195	KLHL25	KLHL25	0.0186156781673468	0.00560387751799848	0.447912089701744	0.467642017164157	FALSE	FALSE	up
hsa_circRNA_000197	TSNAX	TSNAX	0.245476034449489	0.073895649585941	0.0147598530459585	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000200	C16orf72	C16orf72	0.274507190277743	0.0826348982990405	0.137153571320805	0.286868994108552	FALSE	FALSE	up
hsa_circRNA_000202	None	None	0.188976689084139	0.0568876518955919	0.0924685342714022	0.285183486298435	FALSE	FALSE	up
hsa_circRNA_000203	LARP4B	LARP4B	0.31194400631474	0.0939045028683312	0.16879209949974	0.29589544473484	FALSE	FALSE	up
hsa_circRNA_000207	None	None	0.111645355828909	0.0336086009810801	0.198378222161941	0.307057877047866	FALSE	FALSE	up
hsa_circRNA_000210	GDI2	GDI2	0.727114884694209	0.218883390586714	0.0377558570509101	0.285183486298435	TRUE	FALSE	up
