feature_id	gene_symbol	display_label	log2_fold_change	original_log10_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction
hsa_circRNA_103080	RNF114	RNF114	-0.05615841631149	-0.0169053678187439	0.425733319761137	0.447004670376751	FALSE	FALSE	down
hsa_circRNA_103081	TMEM189-UBE2V1	TMEM189-UBE2V1	0.085900073405647	0.0258584987248376	0.156826384118403	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103082	TMEM189-UBE2V1	TMEM189-UBE2V1	0.16853846117135	0.0507351322356255	0.105747135894142	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103083	NFATC2	NFATC2	0.020878729675916	0.00628512390381044	0.417097999491621	0.441182662907542	FALSE	FALSE	up
hsa_circRNA_103084	NFATC2	NFATC2	0.305986551018341	0.0921111301262877	0.0273955162839555	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103085	ATP9A	ATP9A	0.146592497611689	0.0441287389204188	0.116946420604616	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103086	ATP9A	ATP9A	0.0472427776783084	0.0142214931596556	0.410026066601392	0.436161201809564	FALSE	FALSE	up
hsa_circRNA_103087	ATP9A	ATP9A	0.29435601685638	0.088609990477943	0.0568799072110745	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103088	ATP9A	ATP9A	0.21436628079753	0.0645306805789843	0.347305439853262	0.395157568620103	FALSE	FALSE	up
hsa_circRNA_103089	ATP9A	ATP9A	0.142202138353651	0.0428071090920084	0.18767819503958	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103090	SALL4	SALL4	0.253756592245783	0.0763883458634547	0.0511389275797296	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103091	CYP24A1	CYP24A1	-0.493123633656079	-0.148445005301296	0.120734461200819	0.335266174540636	FALSE	FALSE	down
hsa_circRNA_103092	CYP24A1	CYP24A1	0.0087702096277321	0.0026400961662084	0.483892246509753	0.489039116458781	FALSE	FALSE	up
hsa_circRNA_103093	CYP24A1	CYP24A1	-0.202701789657712	-0.0610193188617423	0.251253835961288	0.345879372177062	FALSE	FALSE	down
hsa_circRNA_103094	AURKA	AURKA	0.263034405833794	0.0791812460476249	0.229614689867556	0.339612537918973	FALSE	FALSE	up
hsa_circRNA_103095	AURKA	AURKA	0.188750772543145	0.0568196442402361	0.30289700365622	0.369108298944219	FALSE	FALSE	up
hsa_circRNA_103096	VAPB	VAPB	0.162326885175681	0.0488652615405829	0.237673698897107	0.342862574298836	FALSE	FALSE	up
hsa_circRNA_103097	PSMA7	PSMA7	0.275107238134369	0.0828155307027189	0.18434872973666	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103098	SS18L1	SS18L1	0.0726501226342361	0.0218698661015718	0.286983618013776	0.360206044674874	FALSE	FALSE	up
hsa_circRNA_103099	OSBPL2	OSBPL2	0.190521906049426	0.0573528085519522	0.252305437347464	0.346439478037749	FALSE	FALSE	up
hsa_circRNA_103100	LAMA5	LAMA5	0.147898695112313	0.0445219435483682	0.246665079930441	0.344758876216496	FALSE	FALSE	up
hsa_circRNA_103101	RPS21	RPS21	0.178970141045319	0.0538753807828546	0.165304897144927	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103102	DIDO1	DIDO1	0.012981392656451	0.00390778857508388	0.482156043754749	0.487651122645532	FALSE	FALSE	up
hsa_circRNA_103103	YTHDF1	YTHDF1	0.111343368967244	0.0335176938774226	0.218513981024845	0.33815277813701	FALSE	FALSE	up
hsa_circRNA_103104	ZBTB46	ZBTB46	0.246516958783244	0.0742089990336177	0.127076337338874	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103105	ZBTB46	ZBTB46	0.200593831057887	0.060384760093577	0.302389837805501	0.368763986048046	FALSE	FALSE	up
hsa_circRNA_103106	DNAJC5	DNAJC5	0.239187663879426	0.0720026614205014	0.120590507095104	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103107	BAGE2	BAGE2	0.38629363515099	0.116285971314526	0.225281828061219	0.338964471305308	FALSE	FALSE	up
hsa_circRNA_103108	None	None	0.430451377353132	0.129578776258168	0.310706521652119	0.373271603529778	FALSE	FALSE	up
hsa_circRNA_103109	NRIP1	NRIP1	-0.0525680508041536	-0.0158245601056383	0.411002719015429	0.436669609411798	FALSE	FALSE	down
hsa_circRNA_103110	NRIP1	NRIP1	0.272150992510773	0.0819256120954661	0.191960845319244	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103111	NRIP1	NRIP1	0.0966285646794724	0.0290880964064783	0.308459310496046	0.37212363400447	FALSE	FALSE	up
hsa_circRNA_103112	USP25	USP25	0.267462511791018	0.0805142387647277	0.143078273847199	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103113	USP25	USP25	0.309130820423248	0.0930576495316132	0.181457391820774	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103114	APP	APP	0.301943720433207	0.0908941168527748	0.228068066776633	0.339388831362797	FALSE	FALSE	up
hsa_circRNA_103115	BACH1	BACH1	0.426989259708848	0.128536574998721	0.195479188410908	0.335353299981201	FALSE	FALSE	up
hsa_circRNA_103116	BACH1	BACH1	0.344835655015898	0.103805875734222	0.261198172253279	0.349203663922493	FALSE	FALSE	up
hsa_circRNA_103117	BACH1	BACH1	0.295550788308029	0.0889696525228522	0.294060238201518	0.364471032509737	FALSE	FALSE	up
hsa_circRNA_103118	BACH1	BACH1	0.419828416165548	0.126380946297931	0.204401622925442	0.336164652579859	FALSE	FALSE	up
hsa_circRNA_103119	SCAF4	SCAF4	-0.00317657752017779	-0.000956245117125419	0.489596388418327	0.492974468375215	FALSE	FALSE	down
hsa_circRNA_103120	IFNGR2	IFNGR2	0.300789327829212	0.0905466100521995	0.136335046473212	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103121	GART	GART	0.246664444726022	0.0742533967263327	0.0875631831530029	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103122	DONSON	DONSON	0.165148469501972	0.0497146430580919	0.138399654193157	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103123	RUNX1	RUNX1	0.155454518633979	0.0467964730703331	0.00957987268286541	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103124	DOPEY2	DOPEY2	0.123846080957092	0.0372813852135145	0.137204614962439	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103125	DOPEY2	DOPEY2	0.225712779628059	0.0679463170727398	0.21120546522009	0.336748562282979	FALSE	FALSE	up
hsa_circRNA_103126	PIGP	PIGP	0.15387550777782	0.0463211434391502	0.0838841902903478	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103127	DYRK1A	DYRK1A	0.455376873383705	0.137082098220174	0.167069983902281	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103128	DYRK1A	DYRK1A	0.392026210440335	0.118011648429021	0.205840317604637	0.336506632915986	FALSE	FALSE	up
hsa_circRNA_103129	BRWD1	BRWD1	0.193479729421209	0.0582432021087348	0.214794993186768	0.337602691780175	FALSE	FALSE	up
hsa_circRNA_103130	BRWD1	BRWD1	0.333830183943653	0.100492898825064	0.151171605892959	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103131	BRWD1	BRWD1	0.26038968457823	0.0783851056195301	0.183553724522008	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103133	BRWD1	BRWD1	0.118988036217087	0.0358189680264953	0.352229203946575	0.398362039493181	FALSE	FALSE	up
hsa_circRNA_103134	BRWD1	BRWD1	0.254572827085598	0.076634057033745	0.322965216867896	0.380945232002061	FALSE	FALSE	up
hsa_circRNA_103135	BACE2	BACE2	0.133501593192439	0.0401879840198544	0.0469790550015761	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103136	BACE2	BACE2	0.145605322246899	0.0438315695246367	0.221255636914218	0.338612390495379	FALSE	FALSE	up
hsa_circRNA_103137	C2CD2	C2CD2	0.0451949024752837	0.0136050212961687	0.457381998329885	0.470529894733666	FALSE	FALSE	up
hsa_circRNA_103138	WDR4	WDR4	0.0126553008060287	0.00380962514676521	0.484457460520687	0.489262920913395	FALSE	FALSE	up
hsa_circRNA_103139	PKNOX1	PKNOX1	0.323024784442939	0.0972401494602164	0.172848449114044	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103140	PDXK	PDXK	0.0782386709543117	0.0235521867781321	0.391881052973293	0.423717065680737	FALSE	FALSE	up
hsa_circRNA_103141	PDXK	PDXK	0.293079120153538	0.0882256062690231	0.124895901998	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103142	TRAPPC10	TRAPPC10	0.163824801905895	0.049316179407384	0.281263517699058	0.35729906581482	FALSE	FALSE	up
hsa_circRNA_103143	TRAPPC10	TRAPPC10	0.156119201917282	0.0469965626762236	0.192010508725324	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103145	ADARB1	ADARB1	0.111173037919668	0.0334664191229094	0.361787970687012	0.404663024512094	FALSE	FALSE	up
hsa_circRNA_103147	ADARB1	ADARB1	0.249519599359312	0.0751128839132121	0.278655604994281	0.35570635785741	FALSE	FALSE	up
hsa_circRNA_103148	SLC19A1	SLC19A1	0.0375809627063597	0.0113129970405437	0.439945633849967	0.457682847919641	FALSE	FALSE	up
hsa_circRNA_103149	PCNT	PCNT	0.0487401109317747	0.0146722353824541	0.39347745457027	0.424749970274178	FALSE	FALSE	up
hsa_circRNA_103150	PCNT	PCNT	0.347222115051273	0.104524271788323	0.0943540516614587	0.335266174540636	FALSE	FALSE	up
hsa_circRNA_103152	CECR2	CECR2	0.197446064206217	0.0594371878518677	0.0107782016510135	0.335266174540636	FALSE	FALSE	up
