query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	FALSE	1	135	206	5	0.0242718446601942	0.037037037037037	GO:0001558	GO:BP	regulation of cell growth	5592	336	GO:0016049;GO:0040008;GO:0051128
query_1	FALSE	1	268	206	15	0.0728155339805825	0.0559701492537313	GO:0001568	GO:BP	blood vessel development	5592	341	GO:0001944;GO:0048856
query_1	FALSE	1	34	206	1	0.00485436893203883	0.0294117647058824	GO:0001570	GO:BP	vasculogenesis	5592	343	GO:0030154;GO:0048514
query_1	FALSE	1	34	206	2	0.00970873786407767	0.0588235294117647	GO:0001578	GO:BP	microtubule bundle formation	5592	349	GO:0000226
query_1	FALSE	1	92	206	8	0.0388349514563107	0.0869565217391304	GO:0001649	GO:BP	osteoblast differentiation	5592	354	GO:0001503;GO:0030154
query_1	FALSE	1	138	206	10	0.0485436893203883	0.072463768115942	GO:0001654	GO:BP	eye development	5592	355	GO:0007423;GO:0150063
query_1	FALSE	1	20	206	2	0.00970873786407767	0.1	GO:0001655	GO:BP	urogenital system development	5592	356	GO:0048731
query_1	FALSE	1	23	206	4	0.0194174757281553	0.173913043478261	GO:0001656	GO:BP	metanephros development	5592	357	GO:0001822
query_1	FALSE	1	31	206	5	0.0242718446601942	0.161290322580645	GO:0001657	GO:BP	ureteric bud development	5592	358	GO:0072164
query_1	FALSE	1	16	206	3	0.0145631067961165	0.1875	GO:0001658	GO:BP	branching involved in ureteric bud morphogenesis	5592	359	GO:0048754;GO:0060675
query_1	FALSE	1	64	206	1	0.00485436893203883	0.015625	GO:0001659	GO:BP	temperature homeostasis	5592	360	GO:0048871
query_1	FALSE	1	93	206	3	0.0145631067961165	0.032258064516129	GO:0001666	GO:BP	response to hypoxia	5592	364	GO:0006950;GO:0036293
query_1	FALSE	1	97	206	6	0.029126213592233	0.0618556701030928	GO:0001667	GO:BP	ameboidal-type cell migration	5592	365	GO:0016477
query_1	FALSE	1	8	206	1	0.00485436893203883	0.125	GO:0001675	GO:BP	acrosome assembly	5592	366	GO:0003006;GO:0007286;GO:0010927;GO:0022412;GO:0033363;GO:0070925
query_1	FALSE	1	47	206	2	0.00970873786407767	0.0425531914893617	GO:0001678	GO:BP	intracellular glucose homeostasis	5592	369	GO:0042593;GO:0055082
query_1	FALSE	1	169	206	11	0.0533980582524272	0.0650887573964497	GO:0001701	GO:BP	in utero embryonic development	5592	380	GO:0043009
